,optimal_threshold,optimal_metric_value,all_optimal_thresholds,accuracy,precision,recall,f1,auc
consensus,6.222222222222221,0.2558139534883721,"{'accuracy': {'threshold': np.float64(77.33333333333333), 'score': np.float64(0.9552941176470588)}, 'precision': {'threshold': np.float64(77.33333333333333), 'score': np.float64(1.0)}, 'recall': {'threshold': np.float64(0.0), 'score': np.float64(1.0)}, 'f1': {'threshold': np.float64(6.222222222222221), 'score': np.float64(0.2558139534883721)}}",0.8494117647058823,0.16541353383458646,0.5641025641025641,0.2558139534883721,0.7807550033197382
embedding,0.03237935525696618,0.3,"{'accuracy': {'threshold': np.float64(0.0465197000655093), 'score': np.float64(0.9529411764705882)}, 'precision': {'threshold': np.float64(0.03852733126068058), 'score': np.float64(0.35294117647058826)}, 'recall': {'threshold': np.float64(-0.013730464770891793), 'score': np.float64(1.0)}, 'f1': {'threshold': np.float64(0.03237935525696618), 'score': np.float64(0.3)}}",0.9341176470588235,0.2926829268292683,0.3076923076923077,0.3,0.6910430301305763
neural,6.900566447864875,0.8055555555555556,"{'accuracy': {'threshold': np.float64(6.900566447864875), 'score': np.float64(0.9835294117647059)}, 'precision': {'threshold': np.float64(10.388681469541602), 'score': np.float64(1.0)}, 'recall': {'threshold': np.float64(-34.95681381225586), 'score': np.float64(1.0)}, 'f1': {'threshold': np.float64(6.900566447864875), 'score': np.float64(0.8055555555555556)}}",0.9835294117647059,0.8787878787878788,0.7435897435897436,0.8055555555555556,0.9702804388377755
combined,0.5213274322768351,0.4810126582278481,"{'accuracy': {'threshold': np.float64(0.607400170288924), 'score': np.float64(0.9576470588235294)}, 'precision': {'threshold': np.float64(0.8656183843251909), 'score': np.float64(1.0)}, 'recall': {'threshold': np.float64(0.09957101601759925), 'score': np.float64(1.0)}, 'f1': {'threshold': np.float64(0.5213274322768351), 'score': np.float64(0.4810126582278481)}}",0.951764705882353,0.475,0.48717948717948717,0.4810126582278481,0.9177653419330362
